"","N","p0","p0_hat","time","sens","spec"
"1",100,0.95,0.841515336173637,1.01599999999985,1,0.946808510638298
"2",100,0.9,0.870036983558478,0.565000000000055,1,0.966666666666667
"3",100,0.8,0.757319006043221,1.51900000000001,1,0.952380952380952
"4",500,0.95,0.864862224239708,12.4180000000001,1,0.980932203389831
"5",500,0.9,0.817666825787043,14.2520000000002,1,0.969298245614035
"6",500,0.8,0.794723536625096,10.319,1,0.99749373433584
"7",1000,0.95,0.880199291530564,45.5910000000001,1,0.985247629083245
"8",1000,0.9,0.888554308298251,13.7439999999999,1,0.997780244173141
"9",1000,0.8,0.807900990398852,20.742,1,1
"10",5000,0.95,0.909592792289306,1020.536,1,0.995582667227598
"11",5000,0.9,0.901966391715065,198.883,1,0.999557815609109
"12",5000,0.8,0.790748506794769,589.381,1,0.999494821924728
"13",10000,0.95,0.905739107417667,4272.047,1,0.996097869647754
"14",10000,0.9,0.893672509591756,861.061999999999,1,0.999441652707984
"15",10000,0.8,0.801277364697059,2374.203,0.999493414387031,0.999501619735858
"16",15000,0.95,0.928630888222508,4123.076,1,0.997117750439367
"17",15000,0.9,0.895444962468049,2256.983,0.999346405228758,0.999034892353378
"18",15000,0.8,0.804519439701637,6471.224,0.999657768651608,0.999751614505713
