"","res1....c.time1..Res.1.p0hat.SP.1...Res.1.Sensitivity.1...Res.1.Specificity.1..","res2....c.time2..Res.2.p0hat.SP.1...Res.2.Sensitivity.1...Res.2.Specificity.1..","res3....c.time3..Res.3.p0hat.SP.1...Res.3.Sensitivity.1...Res.3.Specificity.1.."
"1",45.5910000000001,13.7439999999999,20.742
"2",0.880199291530564,0.888554308298251,0.807900990398852
"3",1,1,1
"4",0.985247629083245,0.997780244173141,1
