"","N","p0","p0_hat","time","sens","spec"
"1",100,0.95,0.807775868846993,44.7839999999997,1,0.946808510638298
"2",100,0.9,0.211640273705602,140.39899999999,1,0.313953488372093
"3",100,0.8,0.563171221113234,58.0279999999912,1,0.804878048780488
"4",500,0.95,0.760808223572004,34.8129999999946,1,0.970588235294118
"5",500,0.9,0.761428786058652,37.4649999999965,1,0.969026548672566
"6",500,0.8,0.71703087770268,69.2119999999995,1,0.960099750623441
"7",1000,0.95,0.689537153202215,500.777000000002,1,0.912076271186441
"8",1000,0.9,0.723827374642079,155.339999999997,1,0.973094170403587
"9",1000,0.8,0.668454028376021,69.2580000000016,1,0.967661691542289
"10",5000,0.95,0.817487073325988,1729.88699999999,1,0.989077924805713
"11",5000,0.9,0.757245182002399,178.139999999999,1,0.981659583985686
"12",5000,0.8,0.756163251844372,414.608999999997,0.997055937193327,0.987189148455162
"13",10000,0.95,0.907835916446688,4365.77900000001,0.976878612716763,0.995570087543508
"14",10000,0.9,0.89252639942459,2220.447,0.985714285714286,0.997671840354767
"15",10000,0.8,0.701384350166881,409.989999999991,1,0.978946057057431
"16",15000,0.95,0.887911020809832,7949.94600000001,0.985639686684073,0.99508219755515
"17",15000,0.9,0.839456138828565,2345.97900000001,0.997291807718348,0.991422021740738
"18",15000,0.8,0.784454099613588,2835.292,0.995257452574526,0.994355909694555
"19",20000,0.95,0.872127230182331,11456.99,0.992805755395683,0.993482945288275
"20",20000,0.9,0.787171713213554,1360.524,0.999507389162562,0.984752365052866
"21",20000,0.8,0.687032928351077,1403.946,1,0.979139259537681
"22",25000,0.95,0.928324833228238,20295.346,0.975409836065574,0.997266610597141
"23",25000,0.9,0.796592883456405,4099.23300000001,1,0.989755923748441
"24",25000,0.8,0.68928223355925,2143.59899999999,0.999799639350831,0.977110300364836
