"","time95","time90","time80"
"1",6.875,0.330999999999989,0.268000000000001
"2",0.341000000000008,0.337999999999994,0.330000000000013
"3",2.78899999999999,0.717000000000013,0.594999999999999
"4",0.272999999999996,0.768000000000001,4.53799999999998
"5",0.809999999999974,0.278999999999996,0.582999999999998
"6",0.690999999999974,0.279000000000025,0.826999999999998
"7",0.518000000000001,0.576999999999998,0.5
"8",0.506,0.592999999999989,1.251
"9",0.670999999999992,0.317999999999984,0.240000000000009
"10",0.251000000000005,0.439999999999998,0.816000000000003
