"","N","p0","p0_hat","time","sens","spec"
"1",100,0.95,0.744675108018536,0.799999999999955,1,0.946808510638298
"2",100,0.9,0.876011337286277,0.416000000000054,1,0.989247311827957
"3",100,0.8,0.616518471149431,0.240999999999985,1,0.922077922077922
"4",500,0.95,0.850204086907881,1.93299999999999,1,0.982721382289417
"5",500,0.9,0.860996897734189,1.65899999999999,1,0.997722095671982
"6",500,0.8,0.78295988443076,2.65700000000004,1,0.997455470737914
"7",1000,0.95,0.899156927240575,3.34799999999996,1,0.98728813559322
"8",1000,0.9,0.8881776594662,4.197,1,0.995584988962472
"9",1000,0.8,0.802240434741659,3.91100000000006,1,1
"10",5000,0.95,0.926681564478305,69.158,1,0.996216102585663
"11",5000,0.9,0.893228889045016,67.16,0.997946611909651,0.998892089519167
"12",5000,0.8,0.793603657396814,66.4739999999999,0.994094488188976,0.998744979919679
"13",10000,0.95,0.909309375634841,275.949,1,0.995266645629536
"14",10000,0.9,0.888815973530677,272.683,0.997095837366893,0.997992639678822
"15",10000,0.8,0.79555149685908,274.019,0.997032640949555,0.998746553020807
"16",15000,0.95,0.939701023948862,862.83,0.998648648648649,0.998667601683029
"17",15000,0.9,0.896851670937013,643.079,0.997982515131137,0.99881595500629
"18",15000,0.8,0.793268681733506,637.698,0.997397527651269,0.999077645480463
"19",20000,0.95,0.930935668861409,1158.269,1,0.996264534119009
"20",20000,0.9,0.896427022084933,1173.462,0.994513715710723,0.99899972214504
"21",20000,0.8,0.793476027724795,1157.205,0.996328029375765,0.998366321080741
"22",25000,0.95,0.934959322887651,1790.851,0.99920445505171,0.997472939392663
"23",25000,0.9,0.895253628816635,1853.429,0.994455445544554,0.998665183537264
"24",25000,0.8,0.79712866644696,1822.6,0.99681592039801,0.999048811013767
