"","time95","time90","time80"
"1",1.29599999999999,1.40000000000003,4.65300000000002
"2",1.29100000000005,2.13300000000004,1.91700000000003
"3",1.99399999999997,1.34199999999998,1.76499999999999
"4",1.40800000000002,1.92599999999999,2.27800000000002
"5",1.06999999999999,1.68299999999999,1.94200000000001
"6",2.02499999999998,1.38499999999999,1.988
"7",3.49399999999997,1.74399999999997,2.12700000000001
"8",1.73700000000002,1.53199999999998,1.86000000000001
"9",1.45699999999999,1.40100000000001,2.01799999999997
"10",1.34500000000003,1.22499999999997,1.51799999999997
