"","time95","time90","time80"
"1",148.532999999999,91.1840000000011,112.970000000001
"2",133.555,105.685000000001,119.861000000001
"3",124.550999999999,104.785,112.157000000003
"4",125.601999999999,105.07,109.487000000001
"5",153.428999999996,109.534999999996,115.980000000003
"6",291.006000000001,116.476000000002,108.118999999999
"7",222.228000000003,98.1520000000019,105.063000000002
"8",175.025000000001,94.3179999999993,114.440000000002
"9",395.690999999999,90.7719999999972,107.483999999997
"10",127.510000000002,102.349000000002,107.593000000001
