"","time95","time90","time80"
"1",329.067000000003,304.837,337.343000000001
"2",351.566999999995,306.612000000001,323.492999999995
"3",893.594000000005,313.073000000004,320.699000000001
"4",361.873,317.593000000001,321.957000000002
"5",337.671999999999,306.271000000001,319.785000000003
"6",329.557000000001,308.458999999995,323.156999999999
"7",458.016000000003,302.872000000003,326.704999999994
"8",321.951000000001,313.370999999999,340.804999999993
"9",637.091999999997,306.194000000003,320.295999999995
"10",357.606,308.483,323.468000000001
